texto,emocao
estou muito feliz hoje,alegria
que dia maravilhoso,alegria
recebi uma ótima notícia,alegria
estou sorrindo o dia inteiro,alegria
me sinto em paz comigo mesmo,alegria
essa conquista me deixou muito feliz,alegria
estou animado com o resultado,alegria
finalmente deu tudo certo,alegria
me sinto grato pela ajuda,alegria
esse momento é especial,alegria
tive um dia incrível,alegria
estou satisfeito com meu trabalho,alegria
que alegria estar aqui,alegria
isso me deixa muito contente,alegria
estou confiante e tranquilo,alegria
estou com muito medo,medo
isso está me assustando,medo
não me sinto seguro aqui,medo
estou com receio do que pode acontecer,medo
essa situação é perigosa,medo
meu coração está acelerado de medo,medo
tenho medo de errar,medo
isso me dá arrepios,medo
estou nervoso e apreensivo,medo
algo ruim pode acontecer,medo
não quero ficar sozinho aqui,medo
essa notícia me deixou assustado,medo
estou inseguro com essa decisão,medo
tenho um mau pressentimento,medo
isso é realmente assustador,medo
